Date,Accounting_Period,Accounting_Period_Label,Product,Department,Category,GL_Code,Account,Type,Cost_Class,Budget,Actual,Forecast,Notes
2025-02-28,2025-02,Feb 25,Product A,Marketing,Materials,5000,Materials,COGS,Direct,51602.0,50329.89,49150.85,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Freight,5000,Freight,COGS,Direct,59248.41,46967.49,60535.36,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Packaging,5000,Packaging,COGS,Direct,61852.86,51119.73,62075.94,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Materials,5000,Materials,COGS,Direct,50446.73,50579.02,54486.96,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Freight,5000,Freight,COGS,Direct,52100.77,53221.61,52673.87,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Packaging,5000,Packaging,COGS,Direct,55964.69,58361.35,60059.36,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Materials,5000,Materials,COGS,Direct,43687.98,38830.35,42836.48,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Freight,5000,Freight,COGS,Direct,52241.33,50848.22,48399.49,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Packaging,5000,Packaging,COGS,Direct,39804.7,43808.06,43778.66,
2025-05-31,2025-05,May 25,Product A,Marketing,Materials,5000,Materials,COGS,Direct,46488.44,40968.19,41532.66,
2025-05-31,2025-05,May 25,Product A,Marketing,Freight,5000,Freight,COGS,Direct,42994.98,40851.99,41679.13,
2025-05-31,2025-05,May 25,Product A,Marketing,Packaging,5000,Packaging,COGS,Direct,37897.11,38611.31,37596.52,
2025-06-30,2025-06,Jun 25,Product A,Marketing,Materials,5000,Materials,COGS,Direct,21198.35,19961.28,21141.35,
2025-06-30,2025-06,Jun 25,Product A,Marketing,Freight,5000,Freight,COGS,Direct,48924.55,54694.16,47703.16,
2025-06-30,2025-06,Jun 25,Product A,Marketing,Packaging,5000,Packaging,COGS,Direct,52651.49,48069.38,58254.85,
2025-01-31,2025-01,Jan 25,Product A,IT,Materials,5000,Materials,COGS,Direct,31167.25,27790.24,32618.98,
2025-01-31,2025-01,Jan 25,Product A,IT,Freight,5000,Freight,COGS,Direct,52524.46,52267.54,50804.84,
2025-01-31,2025-01,Jan 25,Product A,IT,Packaging,5000,Packaging,COGS,Direct,30484.49,26001.06,28536.63,
2025-02-28,2025-02,Feb 25,Product A,IT,Materials,5000,Materials,COGS,Direct,29942.28,30517.15,29764.67,
2025-02-28,2025-02,Feb 25,Product A,IT,Freight,5000,Freight,COGS,Direct,61483.1,63101.69,60219.84,
2025-02-28,2025-02,Feb 25,Product A,IT,Packaging,5000,Packaging,COGS,Direct,42151.88,49920.08,42538.07,
2025-03-31,2025-03,Mar 25,Product A,IT,Materials,5000,Materials,COGS,Direct,31121.06,37286.5,33803.18,
2025-03-31,2025-03,Mar 25,Product A,IT,Freight,5000,Freight,COGS,Direct,55710.2,65480.28,52626.51,
2025-03-31,2025-03,Mar 25,Product A,IT,Packaging,5000,Packaging,COGS,Direct,27475.86,26174.81,27468.83,
2025-04-30,2025-04,Apr 25,Product A,IT,Materials,5000,Materials,COGS,Direct,33287.32,38909.47,33438.08,
2025-04-30,2025-04,Apr 25,Product A,IT,Freight,5000,Freight,COGS,Direct,21530.83,21404.95,20623.05,
2025-04-30,2025-04,Apr 25,Product A,IT,Packaging,5000,Packaging,COGS,Direct,43796.7,42040.68,45802.38,
2025-05-31,2025-05,May 25,Product A,IT,Materials,5000,Materials,COGS,Direct,43349.97,40831.32,42639.74,
2025-05-31,2025-05,May 25,Product A,IT,Freight,5000,Freight,COGS,Direct,51692.48,59988.49,51293.14,
2025-05-31,2025-05,May 25,Product A,IT,Packaging,5000,Packaging,COGS,Direct,38834.84,39964.91,39177.7,
2025-06-30,2025-06,Jun 25,Product A,IT,Materials,5000,Materials,COGS,Direct,57404.58,58976.74,64630.3,
2025-06-30,2025-06,Jun 25,Product A,IT,Freight,5000,Freight,COGS,Direct,22580.73,21802.01,20928.45,
2025-06-30,2025-06,Jun 25,Product A,IT,Packaging,5000,Packaging,COGS,Direct,44947.92,51451.99,43309.38,
2025-01-31,2025-01,Jan 25,Product A,HR,Materials,5000,Materials,COGS,Direct,42562.07,41731.26,40301.14,
2025-01-31,2025-01,Jan 25,Product A,HR,Freight,5000,Freight,COGS,Direct,61047.29,57168.79,58370.79,
2025-01-31,2025-01,Jan 25,Product A,HR,Packaging,5000,Packaging,COGS,Direct,47015.91,38738.98,52021.34,
2025-02-28,2025-02,Feb 25,Product A,HR,Materials,5000,Materials,COGS,Direct,42034.07,51299.63,48139.66,
2025-02-28,2025-02,Feb 25,Product A,HR,Freight,5000,Freight,COGS,Direct,28597.93,29770.07,31069.79,
2025-02-28,2025-02,Feb 25,Product A,HR,Packaging,5000,Packaging,COGS,Direct,22217.32,24289.76,22700.29,
2025-03-31,2025-03,Mar 25,Product A,HR,Materials,5000,Materials,COGS,Direct,32065.99,26775.5,31684.13,
2025-03-31,2025-03,Mar 25,Product A,HR,Freight,5000,Freight,COGS,Direct,31970.99,29840.46,32724.77,
2025-03-31,2025-03,Mar 25,Product A,HR,Packaging,5000,Packaging,COGS,Direct,22491.23,23440.6,22551.01,
2025-04-30,2025-04,Apr 25,Product A,HR,Materials,5000,Materials,COGS,Direct,44501.78,46191.93,44285.31,
2025-04-30,2025-04,Apr 25,Product A,HR,Freight,5000,Freight,COGS,Direct,61922.76,64789.88,59560.23,
2025-04-30,2025-04,Apr 25,Product A,HR,Packaging,5000,Packaging,COGS,Direct,30601.26,26516.31,32423.78,
2025-05-31,2025-05,May 25,Product A,HR,Materials,5000,Materials,COGS,Direct,36286.25,28689.71,37968.91,
2025-05-31,2025-05,May 25,Product A,HR,Freight,5000,Freight,COGS,Direct,20116.71,18978.45,20381.97,
2025-05-31,2025-05,May 25,Product A,HR,Packaging,5000,Packaging,COGS,Direct,54794.6,54114.12,54104.25,
2025-06-30,2025-06,Jun 25,Product A,HR,Materials,5000,Materials,COGS,Direct,51078.66,35346.48,50473.76,
2025-06-30,2025-06,Jun 25,Product A,HR,Freight,5000,Freight,COGS,Direct,41528.63,39675.22,37880.92,
2025-06-30,2025-06,Jun 25,Product A,HR,Packaging,5000,Packaging,COGS,Direct,51880.89,42331.52,54121.69,
2025-01-31,2025-01,Jan 25,Product A,Finance,Materials,5000,Materials,COGS,Direct,36495.07,31884.0,35884.77,
2025-01-31,2025-01,Jan 25,Product A,Finance,Freight,5000,Freight,COGS,Direct,34641.82,41843.08,36681.21,
2025-01-31,2025-01,Jan 25,Product A,Finance,Packaging,5000,Packaging,COGS,Direct,66039.44,69518.34,68773.43,
2025-02-28,2025-02,Feb 25,Product A,Finance,Materials,5000,Materials,COGS,Direct,41637.49,38152.81,43697.68,
2025-02-28,2025-02,Feb 25,Product A,Finance,Freight,5000,Freight,COGS,Direct,43893.39,42889.19,46463.89,
2025-02-28,2025-02,Feb 25,Product A,Finance,Packaging,5000,Packaging,COGS,Direct,32188.23,35010.91,29658.17,
2025-03-31,2025-03,Mar 25,Product A,Finance,Materials,5000,Materials,COGS,Direct,21571.22,20229.63,23201.17,
2025-03-31,2025-03,Mar 25,Product A,Finance,Freight,5000,Freight,COGS,Direct,24070.41,21142.34,24109.86,
2025-03-31,2025-03,Mar 25,Product A,Finance,Packaging,5000,Packaging,COGS,Direct,48549.43,50367.17,51353.91,
2025-04-30,2025-04,Apr 25,Product A,Finance,Materials,5000,Materials,COGS,Direct,35610.43,36911.07,35738.69,
2025-04-30,2025-04,Apr 25,Product A,Finance,Freight,5000,Freight,COGS,Direct,48443.44,36449.4,47011.69,
2025-04-30,2025-04,Apr 25,Product A,Finance,Packaging,5000,Packaging,COGS,Direct,45393.49,53433.31,46229.54,
2025-05-31,2025-05,May 25,Product A,Finance,Materials,5000,Materials,COGS,Direct,23656.75,25966.87,24920.58,
2025-05-31,2025-05,May 25,Product A,Finance,Freight,5000,Freight,COGS,Direct,37433.03,38647.4,35817.14,
2025-05-31,2025-05,May 25,Product A,Finance,Packaging,5000,Packaging,COGS,Direct,55251.5,57793.47,58013.59,
2025-06-30,2025-06,Jun 25,Product A,Finance,Materials,5000,Materials,COGS,Direct,32251.21,37984.65,31052.13,
2025-06-30,2025-06,Jun 25,Product A,Finance,Freight,5000,Freight,COGS,Direct,38123.18,41986.06,38144.96,
2025-06-30,2025-06,Jun 25,Product A,Finance,Packaging,5000,Packaging,COGS,Direct,61382.48,67583.24,63083.13,
2025-01-31,2025-01,Jan 25,Product A,Operations,Materials,5000,Materials,COGS,Direct,58489.0,44426.92,63180.57,
2025-01-31,2025-01,Jan 25,Product A,Operations,Freight,5000,Freight,COGS,Direct,54487.22,63049.68,50122.09,
2025-01-31,2025-01,Jan 25,Product A,Operations,Packaging,5000,Packaging,COGS,Direct,41365.45,37423.47,42274.73,
2025-02-28,2025-02,Feb 25,Product A,Operations,Materials,5000,Materials,COGS,Direct,32517.15,27004.46,28761.25,
2025-02-28,2025-02,Feb 25,Product A,Operations,Freight,5000,Freight,COGS,Direct,54595.63,57605.28,56511.81,
2025-02-28,2025-02,Feb 25,Product A,Operations,Packaging,5000,Packaging,COGS,Direct,52244.65,53111.33,54230.29,
2025-03-31,2025-03,Mar 25,Product A,Operations,Materials,5000,Materials,COGS,Direct,62506.78,57221.16,61945.44,
2025-03-31,2025-03,Mar 25,Product A,Operations,Freight,5000,Freight,COGS,Direct,59549.16,56735.52,61100.91,
2025-03-31,2025-03,Mar 25,Product A,Operations,Packaging,5000,Packaging,COGS,Direct,50589.77,55625.59,45548.35,
2025-04-30,2025-04,Apr 25,Product A,Operations,Materials,5000,Materials,COGS,Direct,18903.04,13609.55,18261.98,
2025-04-30,2025-04,Apr 25,Product A,Operations,Freight,5000,Freight,COGS,Direct,50872.54,52079.99,53643.1,
2025-04-30,2025-04,Apr 25,Product A,Operations,Packaging,5000,Packaging,COGS,Direct,51750.18,60155.97,51988.55,
2025-05-31,2025-05,May 25,Product A,Operations,Materials,5000,Materials,COGS,Direct,50974.06,41917.79,48710.47,
2025-05-31,2025-05,May 25,Product A,Operations,Freight,5000,Freight,COGS,Direct,57519.38,69396.69,53544.27,
2025-05-31,2025-05,May 25,Product A,Operations,Packaging,5000,Packaging,COGS,Direct,28263.6,29873.6,28078.35,
2025-06-30,2025-06,Jun 25,Product A,Operations,Materials,5000,Materials,COGS,Direct,23827.17,22097.32,23191.1,
2025-06-30,2025-06,Jun 25,Product A,Operations,Freight,5000,Freight,COGS,Direct,45850.5,48204.78,45416.66,
2025-06-30,2025-06,Jun 25,Product A,Operations,Packaging,5000,Packaging,COGS,Direct,60915.09,70568.88,59871.05,
2025-01-31,2025-01,Jan 25,Product A,R&D,Materials,5000,Materials,COGS,Direct,46558.37,44706.34,49153.05,
2025-01-31,2025-01,Jan 25,Product A,R&D,Freight,5000,Freight,COGS,Direct,42667.63,44453.4,46829.88,
2025-01-31,2025-01,Jan 25,Product A,R&D,Packaging,5000,Packaging,COGS,Direct,26080.96,26582.31,27484.43,
2025-02-28,2025-02,Feb 25,Product A,R&D,Materials,5000,Materials,COGS,Direct,25427.96,25349.04,25827.06,
2025-02-28,2025-02,Feb 25,Product A,R&D,Freight,5000,Freight,COGS,Direct,32396.13,24337.33,30586.18,
2025-02-28,2025-02,Feb 25,Product A,R&D,Packaging,5000,Packaging,COGS,Direct,35498.38,43750.6,37461.42,
2025-03-31,2025-03,Mar 25,Product A,R&D,Materials,5000,Materials,COGS,Direct,22038.45,20961.88,21725.1,
2025-03-31,2025-03,Mar 25,Product A,R&D,Freight,5000,Freight,COGS,Direct,45022.9,43189.97,47417.78,
2025-03-31,2025-03,Mar 25,Product A,R&D,Packaging,5000,Packaging,COGS,Direct,46120.38,60497.06,46634.8,
2025-04-30,2025-04,Apr 25,Product A,R&D,Materials,5000,Materials,COGS,Direct,37528.77,40144.28,37422.22,
2025-04-30,2025-04,Apr 25,Product A,R&D,Freight,5000,Freight,COGS,Direct,46383.25,48778.3,44408.39,
2025-04-30,2025-04,Apr 25,Product A,R&D,Packaging,5000,Packaging,COGS,Direct,42810.69,46229.99,45133.79,
2025-05-31,2025-05,May 25,Product A,R&D,Materials,5000,Materials,COGS,Direct,38854.39,40971.01,38254.72,
2025-05-31,2025-05,May 25,Product A,R&D,Freight,5000,Freight,COGS,Direct,18966.2,18202.38,17078.29,
2025-05-31,2025-05,May 25,Product A,R&D,Packaging,5000,Packaging,COGS,Direct,36107.04,39985.74,34808.13,
2025-06-30,2025-06,Jun 25,Product A,R&D,Materials,5000,Materials,COGS,Direct,41392.34,38692.75,46401.67,
2025-06-30,2025-06,Jun 25,Product A,R&D,Freight,5000,Freight,COGS,Direct,23676.44,24997.81,21828.54,
2025-06-30,2025-06,Jun 25,Product A,R&D,Packaging,5000,Packaging,COGS,Direct,51288.94,50759.02,53316.93,
2025-01-31,2025-01,Jan 25,Product A,Admin,Materials,5000,Materials,COGS,Direct,37411.74,34321.36,39091.18,
2025-01-31,2025-01,Jan 25,Product A,Admin,Freight,5000,Freight,COGS,Direct,37820.68,33791.89,40346.69,
2025-01-31,2025-01,Jan 25,Product A,Admin,Packaging,5000,Packaging,COGS,Direct,66254.49,62736.09,71074.65,
2025-02-28,2025-02,Feb 25,Product A,Admin,Materials,5000,Materials,COGS,Direct,26193.15,31111.34,25719.36,
2025-02-28,2025-02,Feb 25,Product A,Admin,Freight,5000,Freight,COGS,Direct,48411.1,51038.86,44621.09,
2025-02-28,2025-02,Feb 25,Product A,Admin,Packaging,5000,Packaging,COGS,Direct,26063.04,29652.9,22942.95,
2025-03-31,2025-03,Mar 25,Product A,Admin,Materials,5000,Materials,COGS,Direct,27407.55,24690.15,27746.94,
2025-03-31,2025-03,Mar 25,Product A,Admin,Freight,5000,Freight,COGS,Direct,22890.41,22453.15,23123.19,
2025-03-31,2025-03,Mar 25,Product A,Admin,Packaging,5000,Packaging,COGS,Direct,48564.23,52426.05,49499.18,
2025-04-30,2025-04,Apr 25,Product A,Admin,Materials,5000,Materials,COGS,Direct,35486.0,44152.0,35331.47,
2025-04-30,2025-04,Apr 25,Product A,Admin,Freight,5000,Freight,COGS,Direct,36932.79,32357.87,34634.7,
2025-04-30,2025-04,Apr 25,Product A,Admin,Packaging,5000,Packaging,COGS,Direct,54064.6,48298.31,53873.54,
2025-05-31,2025-05,May 25,Product A,Admin,Materials,5000,Materials,COGS,Direct,40115.46,36430.28,41921.02,
2025-05-31,2025-05,May 25,Product A,Admin,Freight,5000,Freight,COGS,Direct,55968.92,51583.76,57503.67,
2025-05-31,2025-05,May 25,Product A,Admin,Packaging,5000,Packaging,COGS,Direct,24459.12,24259.59,24779.58,
2025-06-30,2025-06,Jun 25,Product A,Admin,Materials,5000,Materials,COGS,Direct,32791.57,27066.86,34982.35,
2025-06-30,2025-06,Jun 25,Product A,Admin,Freight,5000,Freight,COGS,Direct,47148.89,49205.27,41467.63,
2025-06-30,2025-06,Jun 25,Product A,Admin,Packaging,5000,Packaging,COGS,Direct,38181.06,33268.84,39544.88,
2025-01-31,2025-01,Jan 25,Product A,Sales,Salaries,6000,Salaries,OPEX,Indirect,18310.37,16470.26,18525.92,
2025-01-31,2025-01,Jan 25,Product A,Sales,Digital Ads,6000,Digital Ads,OPEX,Indirect,15793.19,16265.16,17231.39,
2025-01-31,2025-01,Jan 25,Product A,Sales,Software,6000,Software,OPEX,Indirect,32953.22,26421.53,30842.46,
2025-01-31,2025-01,Jan 25,Product A,Sales,Travel,6000,Travel,OPEX,Indirect,19401.86,21293.77,19636.29,
2025-01-31,2025-01,Jan 25,Product A,Sales,Rent,6000,Rent,OPEX,Indirect,15365.47,14300.57,16344.6,
2025-01-31,2025-01,Jan 25,Product A,Sales,Utilities,6000,Utilities,OPEX,Indirect,11063.32,11781.72,11485.34,
2025-01-31,2025-01,Jan 25,Product A,Sales,Training,6000,Training,OPEX,Indirect,10512.46,11191.19,9968.81,
2025-02-28,2025-02,Feb 25,Product A,Sales,Salaries,6000,Salaries,OPEX,Indirect,29193.49,30757.06,28016.12,
2025-02-28,2025-02,Feb 25,Product A,Sales,Digital Ads,6000,Digital Ads,OPEX,Indirect,28747.99,29581.6,27865.46,
2025-02-28,2025-02,Feb 25,Product A,Sales,Software,6000,Software,OPEX,Indirect,7772.97,7802.92,7877.49,
2025-02-28,2025-02,Feb 25,Product A,Sales,Travel,6000,Travel,OPEX,Indirect,13374.8,12518.62,13099.52,
2025-02-28,2025-02,Feb 25,Product A,Sales,Rent,6000,Rent,OPEX,Indirect,21376.85,15187.53,23098.69,
2025-02-28,2025-02,Feb 25,Product A,Sales,Utilities,6000,Utilities,OPEX,Indirect,27467.62,21083.58,27041.2,
2025-02-28,2025-02,Feb 25,Product A,Sales,Training,6000,Training,OPEX,Indirect,8307.82,7197.84,8548.57,
2025-03-31,2025-03,Mar 25,Product A,Sales,Salaries,6000,Salaries,OPEX,Indirect,22231.3,24096.59,24512.99,
2025-03-31,2025-03,Mar 25,Product A,Sales,Digital Ads,6000,Digital Ads,OPEX,Indirect,23495.37,23095.0,24218.15,
2025-03-31,2025-03,Mar 25,Product A,Sales,Software,6000,Software,OPEX,Indirect,9522.38,7544.76,9600.65,
2025-03-31,2025-03,Mar 25,Product A,Sales,Travel,6000,Travel,OPEX,Indirect,22811.89,22335.11,24714.28,
2025-03-31,2025-03,Mar 25,Product A,Sales,Rent,6000,Rent,OPEX,Indirect,7823.04,8122.88,7483.11,
2025-03-31,2025-03,Mar 25,Product A,Sales,Utilities,6000,Utilities,OPEX,Indirect,37181.77,35737.07,34036.26,
2025-03-31,2025-03,Mar 25,Product A,Sales,Training,6000,Training,OPEX,Indirect,31424.79,30133.84,31296.6,
2025-04-30,2025-04,Apr 25,Product A,Sales,Salaries,6000,Salaries,OPEX,Indirect,14444.83,15280.43,14067.3,
2025-04-30,2025-04,Apr 25,Product A,Sales,Digital Ads,6000,Digital Ads,OPEX,Indirect,36686.36,37885.43,35376.89,
2025-04-30,2025-04,Apr 25,Product A,Sales,Software,6000,Software,OPEX,Indirect,32686.6,34056.89,36580.56,
2025-04-30,2025-04,Apr 25,Product A,Sales,Travel,6000,Travel,OPEX,Indirect,7029.47,6888.66,7316.54,
2025-04-30,2025-04,Apr 25,Product A,Sales,Rent,6000,Rent,OPEX,Indirect,33916.15,31794.4,33177.79,
2025-04-30,2025-04,Apr 25,Product A,Sales,Utilities,6000,Utilities,OPEX,Indirect,20316.85,23969.92,19850.74,
2025-04-30,2025-04,Apr 25,Product A,Sales,Training,6000,Training,OPEX,Indirect,14934.04,14493.61,15644.94,
2025-05-31,2025-05,May 25,Product A,Sales,Salaries,6000,Salaries,OPEX,Indirect,30948.24,28042.51,27357.69,
2025-05-31,2025-05,May 25,Product A,Sales,Digital Ads,6000,Digital Ads,OPEX,Indirect,20541.32,20045.6,21684.41,
2025-05-31,2025-05,May 25,Product A,Sales,Software,6000,Software,OPEX,Indirect,5895.16,5854.87,6204.41,
2025-05-31,2025-05,May 25,Product A,Sales,Travel,6000,Travel,OPEX,Indirect,29606.81,31591.23,29278.86,
2025-05-31,2025-05,May 25,Product A,Sales,Rent,6000,Rent,OPEX,Indirect,11902.99,12905.22,11286.96,
2025-05-31,2025-05,May 25,Product A,Sales,Utilities,6000,Utilities,OPEX,Indirect,9710.52,8293.69,8951.41,
2025-05-31,2025-05,May 25,Product A,Sales,Training,6000,Training,OPEX,Indirect,16818.17,14755.02,16737.29,
2025-06-30,2025-06,Jun 25,Product A,Sales,Salaries,6000,Salaries,OPEX,Indirect,9704.21,7961.37,9256.42,
2025-06-30,2025-06,Jun 25,Product A,Sales,Digital Ads,6000,Digital Ads,OPEX,Indirect,15339.1,16751.5,14464.65,
2025-06-30,2025-06,Jun 25,Product A,Sales,Software,6000,Software,OPEX,Indirect,20553.88,20697.61,21117.81,
2025-06-30,2025-06,Jun 25,Product A,Sales,Travel,6000,Travel,OPEX,Indirect,14894.2,15176.81,15473.42,
2025-06-30,2025-06,Jun 25,Product A,Sales,Rent,6000,Rent,OPEX,Indirect,25673.62,18750.16,26959.54,
2025-06-30,2025-06,Jun 25,Product A,Sales,Utilities,6000,Utilities,OPEX,Indirect,7039.15,5468.15,7074.01,
2025-06-30,2025-06,Jun 25,Product A,Sales,Training,6000,Training,OPEX,Indirect,15349.9,16300.91,15064.61,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Salaries,6000,Salaries,OPEX,Indirect,40115.18,38674.57,38079.2,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Digital Ads,6000,Digital Ads,OPEX,Indirect,44016.42,50017.0,41989.79,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Software,6000,Software,OPEX,Indirect,11355.86,11958.92,12065.41,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Travel,6000,Travel,OPEX,Indirect,24741.46,26632.42,25163.05,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Rent,6000,Rent,OPEX,Indirect,31318.53,29228.24,29314.39,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Utilities,6000,Utilities,OPEX,Indirect,39109.52,45488.53,39608.58,
2025-01-31,2025-01,Jan 25,Product A,Marketing,Training,6000,Training,OPEX,Indirect,10862.8,11127.15,10268.89,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Salaries,6000,Salaries,OPEX,Indirect,7859.78,6631.15,7839.66,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Digital Ads,6000,Digital Ads,OPEX,Indirect,42338.47,46881.63,42362.7,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Software,6000,Software,OPEX,Indirect,25585.45,24962.45,24200.73,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Travel,6000,Travel,OPEX,Indirect,11415.57,9702.8,11707.36,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Rent,6000,Rent,OPEX,Indirect,15413.11,15186.19,16180.45,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Utilities,6000,Utilities,OPEX,Indirect,11935.03,11990.76,11430.75,
2025-02-28,2025-02,Feb 25,Product A,Marketing,Training,6000,Training,OPEX,Indirect,12431.59,12997.4,13231.77,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Salaries,6000,Salaries,OPEX,Indirect,31781.89,27036.7,31274.8,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Digital Ads,6000,Digital Ads,OPEX,Indirect,37105.83,34532.64,37575.0,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Software,6000,Software,OPEX,Indirect,19619.62,20352.89,19225.28,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Travel,6000,Travel,OPEX,Indirect,11484.19,9913.94,11207.86,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Rent,6000,Rent,OPEX,Indirect,26911.02,20075.66,24405.81,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Utilities,6000,Utilities,OPEX,Indirect,28043.13,27647.35,29745.62,
2025-03-31,2025-03,Mar 25,Product A,Marketing,Training,6000,Training,OPEX,Indirect,29049.11,34492.12,27411.06,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Salaries,6000,Salaries,OPEX,Indirect,30905.84,27588.98,30401.67,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Digital Ads,6000,Digital Ads,OPEX,Indirect,6610.76,6344.27,7240.46,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Software,6000,Software,OPEX,Indirect,44695.83,44195.42,44988.72,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Travel,6000,Travel,OPEX,Indirect,33421.13,36835.24,32239.25,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Rent,6000,Rent,OPEX,Indirect,5947.19,5597.67,6217.37,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Utilities,6000,Utilities,OPEX,Indirect,17749.58,17779.37,18048.29,
2025-04-30,2025-04,Apr 25,Product A,Marketing,Training,6000,Training,OPEX,Indirect,14162.44,15295.28,13467.05,
2025-05-31,2025-05,May 25,Product A,Marketing,Salaries,6000,Salaries,OPEX,Indirect,12535.61,12661.94,12100.93,
2025-05-31,2025-05,May 25,Product A,Marketing,Digital Ads,6000,Digital Ads,OPEX,Indirect,20165.43,19180.69,19575.72,
